,1691
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],43
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName]を含有する,43
添加物<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName],42
添加物<BR>[InactIngreName][Number][Unit]（Ｗ／Ｖ）[InactIngreName][Number][Unit]（Ｗ／Ｖ）,41
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName],39
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName],37
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName],37
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName],36
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],36
添加物＞[Number][Unit]<BR>[InactIngreName]（ＮａＯＨ）（[InactIngreName]）適量[InactIngreName]（ＨＣｌ）（[InactIngreName]）適量<<BR>>上室＜添加物＞[Number][Unit]<BR>[InactIngreName]（ＮａＯＨ）（[InactIngreName]）適量[InactIngreName]（ＨＣｌ）（[InactIngreName]）適量<<BR>>上室＜添加物＞[Number][Unit]<BR>[InactIngreName]（ＮａＯＨ）（[InactIngreName]）適量[InactIngreName]（ＨＣｌ）（[InactIngreName]）適量<<BR>>上室＜添加物＞[Number][Unit]<BR>[InactIngreName]（ＮａＯＨ）（[InactIngreName]）適量[InactIngreName]（ＨＣｌ）（[InactIngreName]）適量<<BR>>上室＜添加物＞[Number][Unit]<BR>[InactIngreName]（ＮａＯＨ）（[InactIngreName]）適量[InactIngreName]（ＨＣｌ）（[InactIngreName]）適量,36
添加物<BR>[InactIngreName][InactIngreName]和物,35
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],34
添加物：<BR>[InactIngreName][InactIngreName][InactIngreName],33
添加物：<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName],33
添加物<BR>[InactIngreName][Number][Unit][InactIngreName][InactIngreName],33
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],32
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName],31
添加物<BR>[InactIngreName][Number][Unit][InactIngreName],31
添加物<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName]適量,31
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName],31
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物,30
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,30
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,29
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],29
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]を含有する,28
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,28
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],28
添加物として[InactIngreName][Number][Unit]を含有する,27
添加物<BR>[InactIngreName][Number][Unit][InactIngreName]適量,26
添加物：<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName],25
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName],25
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName],25
添加物としてヒプロメロース[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]を含有する,25
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物,24
添加物<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit],24
添加物として[InactIngreName][Number][Unit][InactIngreName]を含有する,24
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName]を含有する,23
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],23
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],23
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName]を含有する,22
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],22
添加物：<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],22
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName],22
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]を含有する,21
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName],21
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],21
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName],21
添加物〉[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],21
添加物（[Number][Unit]中）<BR>[InactIngreName][Number][Unit],21
添加物として[InactIngreName]を含む,21
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],20
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],20
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],20
添加物（[Number][Unit]中）<BR>[InactIngreName][Number][Unit][InactIngreName],20
添加物：<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName],20
添加物<BR>[InactIngreName]適量,19
添加物：<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],18
添加物として[InactIngreName]含有,18
添加物：<BR>[InactIngreName][InactIngreName],18
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]を含有する,18
添加物<BR>[InactIngreName]（基剤）,17
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName],17
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName]を含有する,17
添加物として[InactIngreName]及び[InactIngreName]を含有する,17
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName],17
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物,17
添加物[Number][Unit][Number][Unit]中<BR>[InactIngreName]（[InactIngreName]）適量,17
添加物として[InactIngreName]（[InactIngreName]）を含有する,17
添加物<BR>[InactIngreName]：適量,17
添加物<BR>[Number][Unit]中に[InactIngreName][Number][Unit][InactIngreName]として[Number][Unit]及び[InactIngreName]を含有する,17
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],16
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],16
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName],16
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],16
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,16
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]グリコール酸ナトリウム[InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],16
添加物：[InactIngreName]量（[Unit]）<BR>[Number]<<BR>>添加物：[InactIngreName]<BR>適量,16
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName],15
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName],15
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName]を含有する,15
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,15
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,15
添加物：<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],15
添加物<BR>本剤[Number][Unit]中に[InactIngreName][Number][Unit][InactIngreName]を含有,15
添加物<BR>[InactIngreName]（ｍｇ／[Unit]）[Number][InactIngreName]（ｍｇ／[Unit]）[Number][InactIngreName]（[Number]成分）適量,15
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],14
添加物として[InactIngreName][Number][Unit]及び[InactIngreName]を含有する,14
添加物〉[InactIngreName],14
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName],14
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName]を含有する,14
添加物〉[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName],14
添加物（[Number][Unit]中）：<BR>[InactIngreName][Number][Unit][InactIngreName]適量,14
添加物<BR>[InactIngreName][Number][Unit]を含有する,14
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,14
添加物として[InactIngreName][InactIngreName]を含む,14
添加物<BR>[InactIngreName]：[Number][Unit]<<BR>>添加物<BR>[InactIngreName][InactIngreName]塩：[Number][Unit]<<BR>>添加物<BR>[InactIngreName]：[Number][Unit]<<BR>>添加物<BR>[InactIngreName]<<BR>>添加物<BR>[InactIngreName],14
添加物<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][InactIngreName],14
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName],13
添加物：<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],13
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],13
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName],13
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName],13
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName],13
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],13
添加物<BR>[InactIngreName][Number][Unit]（Ｗ／Ｗ）[InactIngreName],13
添加物<BR>[InactIngreName]（ｍｇ／[Unit]）[Number][InactIngreName][InactIngreName]和物（ｍｇ／[Unit]）[Number][InactIngreName]（[InactIngreName]）適量,13
添加物<BR>[InactIngreName]（[Number][Unit]）[InactIngreName][InactIngreName]和物（[Number][Unit]）[InactIngreName],13
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName],12
添加物<BR>[InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],12
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName],12
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]グリコール酸ナトリウム[InactIngreName][InactIngreName][InactIngreName],12
添加物（ｍｇ／[Unit]）<BR>[InactIngreName]：[Number][InactIngreName]：[Number]その他の添加物として[InactIngreName]（[InactIngreName]）を含有する,12
添加物<BR>[InactIngreName]（ｍｇ／[Unit]）[Number][InactIngreName][InactIngreName]和物（ｍｇ／[Unit]）[Number]その他の添加物として[InactIngreName]（[InactIngreName]及び[InactIngreName]）を含有する,12
添加物：<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],11
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],11
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName]を含有する,11
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName],11
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],11
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]その他[Number]成分,11
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],11
添加物<BR>ベンザルコニウム塩化物[InactIngreName][InactIngreName][InactIngreName],11
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分,11
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,11
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]グリコール酸ナトリウム[InactIngreName],11
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分,11
添加物として[InactIngreName][InactIngreName]含有,11
添加物<BR>[InactIngreName]：[Number][Unit][InactIngreName]：適量,11
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分,11
添加物：<BR>[InactIngreName][Number][Unit],11
添加物〉[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName],10
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物,10
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName],10
添加物〉[InactIngreName][InactIngreName],10
添加物<BR>[InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],10
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分,10
添加物：<BR>[InactIngreName][Number][Unit][InactIngreName]（[InactIngreName][InactIngreName]）,10
添加物〉[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],10
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,10
添加物<BR>[Number][Unit][Number][Unit]中[InactIngreName][Number][Unit][InactIngreName]適量,10
添加物<BR>[InactIngreName][Number][Unit][InactIngreName][Number][Unit][InactIngreName][Number][Unit],10
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName],10
添加物<BR>[InactIngreName][InactIngreName]和物<<BR>>夾雑物として乳蛋白を含む,10
添加物<BR>[InactIngreName]（[InactIngreName][InactIngreName]）を含有する,10
溶剤（[InactIngreName]）で溶解したとき[Number][Unit]中の組成は下記のとおりである,10
添加物<BR>アクリル酸[Number]－エチルヘキシル[InactIngreName]ビニルアクリル酸[Number]－ヒドロキシエチルコポリマー（基剤）ポリエステル／エチレン[InactIngreName]ビニル（支持体）[InactIngreName]（ライナー）,10
添加物：<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],9
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName]及び[InactIngreName]を含有する,9
添加物〉[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],9
添加物（基剤）として[InactIngreName]を含有する,9
添加物〉[InactIngreName][InactIngreName][InactIngreName][InactIngreName],9
添加物：<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName],9
添加物として[InactIngreName][Number][Unit][InactIngreName][InactIngreName]を含有する,9
添加物として[InactIngreName][Number][Unit][InactIngreName][Number][Unit]及び[InactIngreName]を含有する,9
添加物：<BR>[InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName],9
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName]を含有する,9
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,9
添加物〉[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName],9
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName]タウマチン[InactIngreName][InactIngreName][InactIngreName],9
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分,9
添加物[InactIngreName],9
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName]を含有する,9
添加物：<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],9
溶解液（[InactIngreName]）からなるバッグ製品である,9
添加物〉[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName],8
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],8
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName]を含有する,8
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName]を含有する,8
添加物〉[InactIngreName]…[Number][Unit][InactIngreName][InactIngreName],8
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName]を含有する,8
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],8
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],8
添加物<BR>[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName],8
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName]その他[Number]成分,8
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName],8
添加物（[Number][Unit]中）<BR>[InactIngreName][InactIngreName],8
添加物<BR>[InactIngreName][InactIngreName]を含有する,8
添加物として[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName]を含有する,8
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName],8
添加物<BR>[InactIngreName][InactIngreName][InactIngreName]アスパルテーム[InactIngreName][InactIngreName][InactIngreName],8
添加物<BR>[InactIngreName][Number][Unit][InactIngreName][InactIngreName]和物[Number][Unit][InactIngreName]適量,8
添加物として[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]を含有する,8
添加物<BR>[InactIngreName]を含有する,8
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]ヒプロメロースフタル酸エステル[InactIngreName][InactIngreName][InactIngreName][InactIngreName],8
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName]その他[Number]成分を含有する,8
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][InactIngreName][Number]成分その他[Number]成分,8
添加物[InactIngreName]<<BR>>〔電解質濃度〕（理論値）<BR>Ｎａ＋[Number][Unit]Ｋ＋[Number][Unit]Ｃａ＋＋[Number][Unit]Ｃｌ[Number][Unit]Ｌａｃｔ．[Number][Unit]<<BR>>〔カロリー〕<BR>[Number][Unit]Ｌ,8
添加物<BR>[InactIngreName][InactIngreName][InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName][InactIngreName]ヒプロメロース[InactIngreName][InactIngreName][InactIngreName][InactIngreName],8
添加物：[Number][Unit]（[Number][Unit]）中<BR>[InactIngreName]ヒスチジン[Number][Unit][InactIngreName][Number][Unit][InactIngreName]（[InactIngreName]）[InactIngreName]（[InactIngreName][InactIngreName]和物[InactIngreName][InactIngreName]注[Number]））<<BR>>注[Number]）本剤はチャイニーズハムスター卵巣細胞を用いて製造される<<BR>>注[Number]）必要に応じて添加,8
添加物<BR>[InactIngreName][Number][Unit]（Ｗ／Ｗ）,8
添加物〔[Number][Unit]（[Number][Unit]）中〕<BR>[InactIngreName][Number][Unit][InactIngreName]適量[InactIngreName]適量,8
添加物<BR>[InactIngreName]（ｍｇ／[Unit]）[Number][InactIngreName]（ｍｇ／[Unit]）[Number][InactIngreName],8
添加物<BR>[InactIngreName]（ｍｇ／[Unit]）[Number][InactIngreName]（ｍｇ／[Unit]）[Number],8
